index,Month,Parameter,Main-Sector,Sub-Sector,Industry,Value,Upload_Date,rank
59.00,31-08-2020,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,299.79,16-10-2024,1.00
60.00,31-08-2020,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,79.53,16-10-2024,1.00
61.00,31-08-2020,Amount of Issue Size,Others,Others,Others,"4,726.41",16-10-2024,1.00
62.00,31-08-2020,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,995.12,16-10-2024,1.00
63.00,30-09-2020,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,6.88,16-10-2024,1.00
64.00,30-09-2020,Amount of Issue Size,Information Technology,Information Technology,IT - Services,"1,302.02",16-10-2024,1.00
65.00,30-09-2020,Amount of Issue Size,Others,Others,Others,362.69,16-10-2024,1.00
66.00,31-10-2020,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,15.75,16-10-2024,1.00
67.00,31-10-2020,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,505.01,16-10-2024,1.00
68.00,31-10-2020,Amount of Issue Size,Services,Services,Engineering Services,504.89,16-10-2024,1.00
69.00,31-10-2020,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,3.71,16-10-2024,1.00
70.00,31-10-2020,Amount of Issue Size,Financial Services,Financial Services,Finance,"5,002.00",16-10-2024,1.00
71.00,31-10-2020,Amount of Issue Size,Information Technology,Information Technology,IT - Services,30.21,16-10-2024,1.00
72.00,31-10-2020,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,349.66,16-10-2024,1.00
73.00,31-10-2020,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,4.50,16-10-2024,1.00
74.00,31-10-2020,Amount of Issue Size,Others,Others,Others,24.88,16-10-2024,1.00
75.00,30-11-2020,Amount of Issue Size,Financial Services,Financial Services,Finance,517.60,16-10-2024,1.00
76.00,30-11-2020,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"6,479.55",16-10-2024,1.00
77.00,30-11-2020,Amount of Issue Size,Others,Others,Others,71.30,16-10-2024,1.00
78.00,30-11-2020,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,1.59,16-10-2024,1.00
79.00,31-12-2020,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,2.70,16-10-2024,1.00
80.00,31-12-2020,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,"2,701.08",16-10-2024,1.00
81.00,31-12-2020,Amount of Issue Size,Others,Others,Others,299.16,16-10-2024,1.00
82.00,31-01-2021,Amount of Issue Size,Services,Services,Engineering Services,81.25,16-10-2024,1.00
83.00,31-01-2021,Amount of Issue Size,Financial Services,Financial Services,Finance,"4,633.38",16-10-2024,1.00
84.00,31-01-2021,Amount of Issue Size,Others,Others,Others,299.99,16-10-2024,1.00
85.00,28-02-2021,Amount of Issue Size,Financial Services,Financial Services,Finance,"4,152.33",16-10-2024,1.00
86.00,28-02-2021,Amount of Issue Size,Others,Others,Others,"2,504.23",16-10-2024,1.00
87.00,31-03-2021,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Automobiles,59.40,16-10-2024,1.00
88.00,31-03-2021,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,"1,360.00",16-10-2024,1.00
89.00,31-03-2021,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,25.00,16-10-2024,1.00
90.00,31-03-2021,Amount of Issue Size,Services,Services,Engineering Services,"1,430.23",16-10-2024,1.00
91.00,31-03-2021,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,582.69,16-10-2024,1.00
92.00,31-03-2021,Amount of Issue Size,Financial Services,Financial Services,Finance,619.33,16-10-2024,1.00
93.00,31-03-2021,Amount of Issue Size,Information Technology,Information Technology,IT - Services,4.01,16-10-2024,1.00
94.00,31-03-2021,Amount of Issue Size,Others,Others,Others,"2,357.51",16-10-2024,1.00
95.00,31-03-2021,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,45.14,16-10-2024,1.00
96.00,30-04-2021,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,"2,500.00",16-10-2024,1.00
97.00,30-04-2021,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,4.03,16-10-2024,1.00
98.00,30-04-2021,Amount of Issue Size,Services,Services,Engineering Services,46.80,16-10-2024,1.00
99.00,30-04-2021,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,9.96,16-10-2024,1.00
100.00,30-04-2021,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,452.87,16-10-2024,1.00
101.00,30-04-2021,Amount of Issue Size,Others,Others,Others,302.94,16-10-2024,1.00
102.00,31-05-2021,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,1.12,16-10-2024,1.00
103.00,31-05-2021,Amount of Issue Size,Others,Others,Others,25.00,16-10-2024,1.00
104.00,30-06-2021,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Automobiles,"5,550.00",16-10-2024,1.00
105.00,30-06-2021,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,"1,048.45",16-10-2024,1.00
106.00,30-06-2021,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"2,153.49",16-10-2024,1.00
107.00,30-06-2021,Amount of Issue Size,Others,Others,Others,"1,322.20",16-10-2024,1.00
108.00,31-07-2021,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,"3,195.74",16-10-2024,1.00
109.00,31-07-2021,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,5.00,16-10-2024,1.00
110.00,31-07-2021,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,6.60,16-10-2024,1.00
111.00,31-07-2021,Amount of Issue Size,Information Technology,Information Technology,IT - Services,1.22,16-10-2024,1.00
112.00,31-07-2021,Amount of Issue Size,Others,Others,Others,"10,843.81",16-10-2024,1.00
113.00,31-08-2021,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,"5,000.00",16-10-2024,1.00
114.00,31-08-2021,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,"3,850.00",16-10-2024,1.00
115.00,31-08-2021,Amount of Issue Size,Financial Services,Financial Services,Finance,5.12,16-10-2024,1.00
116.00,31-08-2021,Amount of Issue Size,Information Technology,Information Technology,IT - Services,43.19,16-10-2024,1.00
117.00,31-08-2021,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,"1,838.00",16-10-2024,1.00
118.00,31-08-2021,Amount of Issue Size,Others,Others,Others,"10,211.38",16-10-2024,1.00
119.00,30-09-2021,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,42.36,16-10-2024,1.00
120.00,30-09-2021,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"2,596.11",16-10-2024,1.00
121.00,30-09-2021,Amount of Issue Size,Information Technology,Information Technology,IT - Services,43.05,16-10-2024,1.00
122.00,30-09-2021,Amount of Issue Size,Others,Others,Others,"1,286.40",16-10-2024,1.00
123.00,31-10-2021,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,409.65,16-10-2024,1.00
124.00,31-10-2021,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,12.48,16-10-2024,1.00
125.00,31-10-2021,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,18.01,16-10-2024,1.00
126.00,31-10-2021,Amount of Issue Size,Services,Services,Engineering Services,4.29,16-10-2024,1.00
127.00,31-10-2021,Amount of Issue Size,Financial Services,Financial Services,Finance,"2,768.26",16-10-2024,1.00
128.00,31-10-2021,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,23.42,16-10-2024,1.00
129.00,31-10-2021,Amount of Issue Size,Others,Others,Others,609.09,16-10-2024,1.00
130.00,30-11-2021,Amount of Issue Size,Financial Services,Financial Services,Banks,"1,200.29",16-10-2024,1.00
131.00,30-11-2021,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,72.18,16-10-2024,1.00
132.00,30-11-2021,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,"4,146.50",16-10-2024,1.00
133.00,30-11-2021,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"1,198.90",16-10-2024,1.00
134.00,30-11-2021,Amount of Issue Size,Information Technology,Information Technology,IT - Services,600.00,16-10-2024,1.00
135.00,30-11-2021,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Oil,18.90,16-10-2024,1.00
136.00,30-11-2021,Amount of Issue Size,Others,Others,Others,"30,195.59",16-10-2024,1.00
137.00,30-11-2021,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,"20,987.39",16-10-2024,1.00
138.00,30-11-2021,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,"1,013.60",16-10-2024,1.00
139.00,31-12-2021,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,164.51,16-10-2024,1.00
140.00,31-12-2021,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,125.96,16-10-2024,1.00
141.00,31-12-2021,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,19.59,16-10-2024,1.00
142.00,31-12-2021,Amount of Issue Size,Services,Services,Engineering Services,619.23,16-10-2024,1.00
143.00,31-12-2021,Amount of Issue Size,Financial Services,Financial Services,Finance,659.38,16-10-2024,1.00
144.00,31-12-2021,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,"2,796.60",16-10-2024,1.00
145.00,31-12-2021,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,700.00,16-10-2024,1.00
146.00,31-12-2021,Amount of Issue Size,Information Technology,Information Technology,IT - Services,"2,377.36",16-10-2024,1.00
147.00,31-12-2021,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,"1,981.97",16-10-2024,1.00
148.00,31-12-2021,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,"1,100.00",16-10-2024,1.00
149.00,31-12-2021,Amount of Issue Size,Others,Others,Others,"8,826.32",16-10-2024,1.00
150.00,31-12-2021,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,288.61,16-10-2024,1.00
151.00,31-01-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,1.96,16-10-2024,1.00
152.00,31-01-2022,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,49.44,16-10-2024,1.00
153.00,31-01-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,34.40,16-10-2024,1.00
154.00,31-01-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,680.00,16-10-2024,1.00
155.00,31-01-2022,Amount of Issue Size,Others,Others,Others,38.20,16-10-2024,1.00
156.00,31-01-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,10.09,16-10-2024,1.00
157.00,28-02-2022,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Automobiles,21.93,16-10-2024,1.00
158.00,28-02-2022,Amount of Issue Size,Services,Services,Engineering Services,2.70,16-10-2024,1.00
159.00,28-02-2022,Amount of Issue Size,Financial Services,Financial Services,Finance,50.75,16-10-2024,1.00
160.00,28-02-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,20.22,16-10-2024,1.00
161.00,28-02-2022,Amount of Issue Size,Others,Others,Others,"6,848.23",16-10-2024,1.00
162.00,31-03-2022,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Automobiles,22.69,16-10-2024,1.00
163.00,31-03-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,4.87,16-10-2024,1.00
164.00,31-03-2022,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,40.00,16-10-2024,1.00
165.00,31-03-2022,Amount of Issue Size,Financial Services,Financial Services,Finance,48.18,16-10-2024,1.00
166.00,31-03-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,187.29,16-10-2024,1.00
167.00,31-03-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,751.60,16-10-2024,1.00
168.00,31-03-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,49.38,16-10-2024,1.00
169.00,31-03-2022,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,6.50,16-10-2024,1.00
170.00,31-03-2022,Amount of Issue Size,Others,Others,Others,26.27,16-10-2024,1.00
171.00,31-03-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,10.68,16-10-2024,1.00
172.00,30-04-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,132.50,16-10-2024,1.00
173.00,30-04-2022,Amount of Issue Size,Services,Services,Engineering Services,16.70,16-10-2024,1.00
174.00,30-04-2022,Amount of Issue Size,Financial Services,Financial Services,Finance,51.39,16-10-2024,1.00
175.00,30-04-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,120.00,16-10-2024,1.00
176.00,30-04-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,55.50,16-10-2024,1.00
177.00,30-04-2022,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Oil,"4,300.00",16-10-2024,1.00
178.00,30-04-2022,Amount of Issue Size,Others,Others,Others,341.33,16-10-2024,1.00
179.00,31-05-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,57.16,16-10-2024,1.00
180.00,31-05-2022,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,"1,585.56",16-10-2024,1.00
181.00,31-05-2022,Amount of Issue Size,Financial Services,Financial Services,Finance,428.28,16-10-2024,1.00
182.00,31-05-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"1,644.60",16-10-2024,1.00
183.00,31-05-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,343.56,16-10-2024,1.00
184.00,31-05-2022,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,6.80,16-10-2024,1.00
185.00,31-05-2022,Amount of Issue Size,Others,Others,Others,"28,205.17",16-10-2024,1.00
186.00,31-05-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,48.00,16-10-2024,1.00
187.00,30-06-2022,Amount of Issue Size,Financial Services,Financial Services,Banks,48.86,16-10-2024,1.00
188.00,30-06-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,76.28,16-10-2024,1.00
189.00,30-06-2022,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,834.68,16-10-2024,1.00
190.00,30-06-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,14.42,16-10-2024,1.00
191.00,30-06-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,436.41,16-10-2024,1.00
192.00,30-06-2022,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,9.00,16-10-2024,1.00
193.00,30-06-2022,Amount of Issue Size,Others,Others,Others,6.60,16-10-2024,1.00
194.00,30-06-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,49.80,16-10-2024,1.00
195.00,31-07-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,89.05,16-10-2024,1.00
196.00,31-07-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,96.00,16-10-2024,1.00
197.00,31-07-2022,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,1.90,16-10-2024,1.00
198.00,31-07-2022,Amount of Issue Size,Others,Others,Others,130.70,16-10-2024,1.00
199.00,31-07-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,21.10,16-10-2024,1.00
200.00,31-08-2022,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,840.13,16-10-2024,1.00
201.00,31-08-2022,Amount of Issue Size,Services,Services,Engineering Services,20.95,16-10-2024,1.00
202.00,31-08-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,35.78,16-10-2024,1.00
203.00,31-08-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,1.89,16-10-2024,1.00
204.00,31-08-2022,Amount of Issue Size,Others,Others,Others,67.61,16-10-2024,1.00
205.00,31-08-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,4.43,16-10-2024,1.00
206.00,30-09-2022,Amount of Issue Size,Financial Services,Financial Services,Banks,8.68,16-10-2024,1.00
207.00,30-09-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,47.40,16-10-2024,1.00
208.00,30-09-2022,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,11.40,16-10-2024,1.00
209.00,30-09-2022,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,4.00,16-10-2024,1.00
210.00,30-09-2022,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,63.38,16-10-2024,1.00
211.00,30-09-2022,Amount of Issue Size,Services,Services,Engineering Services,789.44,16-10-2024,1.00
212.00,30-09-2022,Amount of Issue Size,Financial Services,Financial Services,Finance,562.10,16-10-2024,1.00
213.00,30-09-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,70.93,16-10-2024,1.00
214.00,30-09-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,64.88,16-10-2024,1.00
215.00,30-09-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,36.60,16-10-2024,1.00
216.00,30-09-2022,Amount of Issue Size,Others,Others,Others,"1,088.71",16-10-2024,1.00
217.00,31-10-2022,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,38.80,16-10-2024,1.00
218.00,31-10-2022,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,29.10,16-10-2024,1.00
219.00,31-10-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,92.21,16-10-2024,1.00
220.00,31-10-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,14.04,16-10-2024,1.00
221.00,31-10-2022,Amount of Issue Size,Others,Others,Others,"1,270.43",16-10-2024,1.00
222.00,31-10-2022,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,26.02,16-10-2024,1.00
223.00,30-11-2022,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,635.00,16-10-2024,1.00
224.00,30-11-2022,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,"1,543.77",16-10-2024,1.00
225.00,30-11-2022,Amount of Issue Size,Financial Services,Financial Services,Finance,"2,692.50",16-10-2024,1.00
226.00,30-11-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,"1,761.70",16-10-2024,1.00
227.00,30-11-2022,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"2,605.37",16-10-2024,1.00
228.00,30-11-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,857.82,16-10-2024,1.00
229.00,30-11-2022,Amount of Issue Size,Others,Others,Others,"2,500.31",16-10-2024,1.00
230.00,30-11-2022,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,18.52,16-10-2024,1.00
231.00,31-12-2022,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Automobiles,9.41,16-10-2024,1.00
232.00,31-12-2022,Amount of Issue Size,Financial Services,Financial Services,Banks,24.46,16-10-2024,1.00
233.00,31-12-2022,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,516.58,16-10-2024,1.00
234.00,31-12-2022,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,148.65,16-10-2024,1.00
235.00,31-12-2022,Amount of Issue Size,Information Technology,Information Technology,IT - Services,48.19,16-10-2024,1.00
236.00,31-12-2022,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Oil,10.20,16-10-2024,1.00
237.00,31-12-2022,Amount of Issue Size,Others,Others,Others,"4,552.01",16-10-2024,1.00
238.00,31-01-2023,Amount of Issue Size,Financial Services,Financial Services,Banks,44.63,16-10-2024,1.00
239.00,31-01-2023,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,27.37,16-10-2024,1.00
240.00,31-01-2023,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,13.05,16-10-2024,1.00
241.00,31-01-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,29.12,16-10-2024,1.00
242.00,31-01-2023,Amount of Issue Size,Financial Services,Financial Services,Finance,10.74,16-10-2024,1.00
243.00,31-01-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,647.20,16-10-2024,1.00
244.00,31-01-2023,Amount of Issue Size,Others,Others,Others,432.05,16-10-2024,1.00
245.00,31-01-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,241.27,16-10-2024,1.00
